name,state,method,model_family,scenario,seed,target_component,target_depth,AA,BWT,AF,FWT,trainable_params,total_params,mean_time_per_task_s,peak_gpu_mem_mb,target
cil_wildreceipt_o_lora_seed7,finished,o_lora,layoutlmv3,cil_wildreceipt,7,,,16.226472374013355,-73.63600813430126,73.63600813430126,-85.18800858594388,480049,125807025,3332.4494817500163,3652.4072265625,
dil_cl_lora_seed123,finished,cl_lora,layoutlmv3,dil,123,,,41.269402171396145,-56.690943272212834,56.690943272212834,-86.48983224566177,449289,125783186,1176.5077540009904,19096.60009765625,
dil_cl_lora_seed42,finished,cl_lora,layoutlmv3,dil,42,,,40.82101215538356,-58.768087799652974,58.768087799652974,-84.3461516017655,449289,125783186,3033.2411310914904,4643.6064453125,
dil_cl_lora_seed7,finished,cl_lora,layoutlmv3,dil,7,,,41.339189697610045,-60.96701813092568,60.96701813092568,-86.89837745316856,449289,125783186,1379.7507596916596,19096.60009765625,
dil_coda_prompt_seed123,finished,coda_prompt,layoutlmv3,dil,123,,,33.02172998637164,-10.29069726295706,10.29069726295706,-79.86245748806877,60681,125333897,3091.787904647994,3674.220703125,
dil_coda_prompt_seed42,finished,coda_prompt,layoutlmv3,dil,42,,,33.401685122236046,-10.705158266914454,10.705158266914454,-78.75554057497939,60681,125333897,3088.0566650423184,3674.220703125,
dil_coda_prompt_seed7,finished,coda_prompt,layoutlmv3,dil,7,,,31.11497002905364,-10.475421455080083,10.475421455080083,-78.42700316137257,60681,125333897,1823.4403245296755,3674.220703125,
dil_der_pp_seed123,finished,der_pp,layoutlmv3,dil,123,,,88.78306810378164,-1.9509534609085009,1.9509534609085009,-78.83564538230367,125333897,125333897,234.55018130782992,35531.7724609375,
dil_der_pp_seed123_lilt,finished,der_pp,lilt,dil,123,,,84.60600260850254,-3.8134084550963863,3.8134084550963863,-75.15409249238323,283569353,283569353,457.5593271176331,6652.6708984375,
dil_der_pp_seed42,finished,der_pp,layoutlmv3,dil,42,,,88.22694975581032,-2.945947694086506,2.945947694086506,-81.10631165653857,125333897,125333897,287.5252170036547,35531.7724609375,
dil_der_pp_seed42_lilt,finished,der_pp,lilt,dil,42,,,84.4403488221265,-3.2156472103401654,3.2156472103401654,-73.87324524912478,283569353,283569353,333.39294233700883,6652.6708984375,
dil_der_pp_seed7,finished,der_pp,layoutlmv3,dil,7,,,87.06138645987438,-5.362851052063,5.362851052063,-81.98053920910414,125333897,125333897,294.03512265812606,35531.7724609375,
dil_der_pp_seed7_lilt,finished,der_pp,lilt,dil,7,,,84.01118432851098,-3.951493725996528,3.951493725996528,-80.70508065017539,283569353,283569353,408.6093420724695,6652.6708984375,
dil_doccl_seed123,finished,doccl,layoutlmv3,dil,123,,all,83.06404229168531,-5.990540951044544,5.990540951044544,-79.64341153942007,125333897,125333897,2005.143615271314,5012.71044921875,all
dil_doccl_seed123_head_only,finished,doccl,layoutlmv3,dil,123,,head_only,84.40547428877343,-8.083650581164328,8.083650581164328,-79.10594138151015,125333897,125333897,1180.7064729390356,19326.95166015625,head_only
dil_doccl_seed123_late_only,finished,doccl,layoutlmv3,dil,123,,late_only,85.45629253652616,-5.8347752397080015,5.8347752397080015,-77.21078340504967,125333897,125333897,949.840323990987,19326.95166015625,late_only
dil_doccl_seed123_uniform,finished,doccl,layoutlmv3,dil,123,,uniform,41.948492338349595,-1.9036403241282533,1.9036403241282533,-69.90682095344633,125333897,125333897,405.6659509423577,19326.958984375,uniform
dil_doccl_seed42,finished,doccl,layoutlmv3,dil,42,,all,84.61695547550437,-5.2922690714745855,5.2922690714745855,-73.60900759557865,125333897,125333897,1955.6400145130076,5012.71044921875,all
dil_doccl_seed42_head_only,finished,doccl,layoutlmv3,dil,42,,head_only,86.08680462268988,-4.886480164187077,4.886480164187077,-76.22143312448127,125333897,125333897,888.202727324989,19326.95166015625,head_only
dil_doccl_seed42_late_only,finished,doccl,layoutlmv3,dil,42,,late_only,85.11968755751302,-6.896047023319014,6.896047023319014,-78.81729255873503,125333897,125333897,1173.3973591383935,19326.95166015625,late_only
dil_doccl_seed42_uniform,finished,doccl,layoutlmv3,dil,42,,uniform,41.76062277467205,-2.0134167715360176,2.0134167715360176,-71.73314662771709,125333897,125333897,489.1760508225998,19326.958984375,uniform
dil_doccl_seed7,finished,doccl,layoutlmv3,dil,7,,all,86.4561936448863,-2.4050171648380996,2.4050171648380996,-73.29019509086861,125333897,125333897,1671.1109468300128,5012.71044921875,all
dil_doccl_seed7_head_only,finished,doccl,layoutlmv3,dil,7,,head_only,87.88153124607227,-3.2397785585738603,3.2397785585738603,-75.22528670300726,125333897,125333897,980.9199256913658,19326.95166015625,head_only
dil_doccl_seed7_late_only,finished,doccl,layoutlmv3,dil,7,,late_only,87.93010317932459,-3.0025023968970714,3.0025023968970714,-71.67019722007666,125333897,125333897,1022.6809724303506,19326.95166015625,late_only
dil_doccl_seed7_uniform,finished,doccl,layoutlmv3,dil,7,,uniform,44.2186362982663,-1.5011548348618264,1.5011548348618264,-69.67249749434013,125333897,125333897,440.5582219949768,19326.958984375,uniform
dil_dualprompt_seed123,finished,dualprompt,layoutlmv3,dil,123,,,29.217055380789983,-10.795708877648341,10.795708877648341,-79.80891221752731,15369,125333897,1097.5948199589427,16843.34423828125,
dil_dualprompt_seed42,finished,dualprompt,layoutlmv3,dil,42,,,30.215453112635387,-11.238888850139817,11.238888850139817,-79.27371030450954,15369,125333897,1082.8489771191962,16843.34423828125,
dil_dualprompt_seed7,finished,dualprompt,layoutlmv3,dil,7,,,30.256133502142387,-11.123677714875976,11.123677714875976,-78.66737424619922,15369,125333897,1080.169289278953,16843.34423828125,
dil_er_cflat_seed123,finished,er_cflat,layoutlmv3,dil,123,,,88.309565585973,-1.1558714479631789,1.1558714479631789,-83.11628445419024,125333897,125333897,977.8259376036003,5621.0595703125,
dil_er_cflat_seed42,finished,er_cflat,layoutlmv3,dil,42,,,88.58509409778111,-2.26089980378206,2.26089980378206,-85.49123911204411,125333897,125333897,1419.065353098985,5621.0595703125,
dil_er_cflat_seed7,finished,er_cflat,layoutlmv3,dil,7,,,88.36044769420478,-1.95925332996989,1.95925332996989,-77.55492436722237,125333897,125333897,1501.4756009469663,5621.0595703125,
dil_er_seed123,finished,er,layoutlmv3,dil,123,,,88.61806632943285,-1.4056834298154257,1.4056834298154257,-77.8793920987529,125333897,125333897,222.33890054328367,27138.67529296875,
dil_er_seed123_lilt,finished,er,lilt,dil,123,,,86.03279213192322,-0.2830203679823384,0.2830203679823384,-78.28627521429067,283569353,283569353,295.63423369669664,6652.02783203125,
dil_er_seed42,finished,er,layoutlmv3,dil,42,,,86.21319417783377,-5.133080557602845,5.133080557602845,-82.52566235188584,125333897,125333897,277.55136427391943,27138.67529296875,
dil_er_seed42_lilt,finished,er,lilt,dil,42,,,85.10899855458315,-1.7164317123698254,1.7164317123698254,-75.6773382231256,283569353,283569353,274.2244482541767,6652.02783203125,
dil_er_seed7,finished,er,layoutlmv3,dil,7,,,88.72852933591298,-1.7964737891945646,1.7964737891945646,-81.34480347065826,125333897,125333897,225.69926367187873,27138.67529296875,
dil_er_seed7_lilt,finished,er,lilt,dil,7,,,85.81583182514413,-1.2775806151899403,1.2775806151899403,-78.74044005893037,283569353,283569353,273.08608063341427,6652.02783203125,
dil_ewc_seed123,finished,ewc,layoutlmv3,dil,123,,,41.163765803172474,-1.8564022679757075,1.8564022679757075,-72.85464008243696,125333897,125333897,151.09329242709404,20384.056640625,
dil_ewc_seed123_lilt,finished,ewc,lilt,dil,123,,,51.18720525911463,-32.008523474162594,32.008523474162594,-71.22368974453107,283569353,283569353,368.77855822304264,9889.4267578125,
dil_ewc_seed42,finished,ewc,layoutlmv3,dil,42,,,40.177431865550766,-3.994111946765395,3.994111946765395,-73.26068690746446,125333897,125333897,129.38445349456742,20384.056640625,
dil_ewc_seed42_lilt,finished,ewc,lilt,dil,42,,,52.31837148671533,-35.29865806579522,35.29865806579522,-73.1208217082874,283569353,283569353,382.6492138928734,9889.4267578125,
dil_ewc_seed7,finished,ewc,layoutlmv3,dil,7,,,42.372617835370875,-2.581714413026657,2.581714413026657,-71.09707842673444,125333897,125333897,149.82690414444855,20384.056640625,
dil_ewc_seed7_lilt,finished,ewc,lilt,dil,7,,,41.62741112183476,-25.173375822713993,25.173375822713993,-74.59971936853367,283569353,283569353,285.68457467916113,9889.4267578125,
dil_joint_seed123,finished,joint,layoutlmv3,dil,123,,,87.48793554598232,0.0,-0.0,,125333897,125333897,720.5334995550002,10532.07080078125,
dil_joint_seed42,finished,joint,layoutlmv3,dil,42,,,89.68037947479684,0.0,-0.0,,125333897,125333897,1591.3792773469977,10532.07080078125,
dil_joint_seed7,finished,joint,layoutlmv3,dil,7,,,89.02520724653523,0.0,-0.0,,125333897,125333897,1391.3644754829947,10532.07080078125,
dil_l2p_seed123,finished,l2p,layoutlmv3,dil,123,,,30.330296452234887,-11.418558631878282,11.418558631878282,-85.09768506994274,53001,125333897,1146.4373412119846,16843.58349609375,
dil_l2p_seed42,finished,l2p,layoutlmv3,dil,42,,,30.88735967889447,-11.50909929331221,11.50909929331221,-79.26519482855481,53001,125333897,1129.3688790791978,16843.58349609375,
dil_l2p_seed7,finished,l2p,layoutlmv3,dil,7,,,30.066924155237164,-11.524169584238145,11.524169584238145,-80.06612190258082,53001,125333897,1011.8921770048328,16843.58349609375,
dil_lwf_seed123,finished,lwf,layoutlmv3,dil,123,,,43.81522956762662,-69.32930483222007,69.32930483222007,-82.46557011954005,125333897,125333897,417.98052176026005,20887.7626953125,
dil_lwf_seed42,finished,lwf,layoutlmv3,dil,42,,,42.540942952112005,-70.70560882729875,70.70560882729875,-86.74052485734198,125333897,125333897,402.0892099865402,20887.7626953125,
dil_lwf_seed7,finished,lwf,layoutlmv3,dil,7,,,44.63052595310533,-67.24351050127635,67.24351050127635,-86.49342460345764,125333897,125333897,243.29339801240712,20887.7626953125,
dil_naive_seed123,finished,naive,layoutlmv3,dil,123,,,40.852231017152604,-73.25932936743493,73.25932936743493,-86.64376987631282,125333897,125333897,537.8328597053345,10532.07080078125,
